word,label
desert,1
learn,1
other,1
table,1
banana,1
plant,1
water,1
think,1
place,1
where,1
there,1
chair,1
paper,1
again,1
three,1
happy,1
book,1
ocean,1
tired,1
ocean,1
book,1
every,1
three,1
glass,1
right,1
quick,1
thing,1
brave,1
orange,1
sound,1
below,1
first,1
world,1
happy,1
river,1
smart,1
young,1
point,1
sad,1
three,1
great,1
every,1
table,1
winter,1
desert,1
below,1
sound,1
after,1
sound,1
light,1
other,1
funny,1
would,1
berry,1
summer,1
their,1
never,1
about,1
write,1
funny,1
berry,1
paper,1
place,1
right,1
again,1
after,1
forest,1
paper,1
think,1
every,1
their,1
learn,1
small,1
ocean,1
funny,1
mouse,1
there,1
world,1
spoon,1
tired,1
point,1
pen,1
spring,1
paper,1
smart,1
ocean,1
pen,1
below,1
where,1
write,1
plant,1
think,1
winter,1
never,1
could,1
young,1
smart,1
could,1
never,1
tired,1
right,1
learn,1
place,1
cloud,1
there,1
light,1
place,1
sound,1
mountain,1
summer,1
clean,1
phone,1
small,1
valley,1
water,1
think,1
learn,1
table,1
where,1
small,1
after,1
summer,1
first,1
mouse,1
spring,1
world,1
brave,1
below,1
winter,1
learn,1
write,1
paper,1
spring,1
water,1
thing,1
these,1
great,1
clean,1
their,1
there,1
could,1
could,1
below,1
great,1
grape,1
river,1
quick,1
which,1
which,1
paper,1
chair,1
glass,1
winter,1
table,1
could,1
would,1
smart,1
river,1
young,1
table,1
these,1
never,1
learn,1
these,1
stone,1
small,1
these,1
after,1
world,1
where,1
water,1
which,1
other,1
could,1
place,1
tired,1
every,1
other,1
ocean,1
smart,1
book,1
angry,1
place,1
could,1
funny,1
plant,1
every,1
angry,1
melon,1
tired,1
think,1
three,1
chair,1
study,1
angry,1
quick,1
banana,1
study,1
below,1
happy,1
ocean,1
smart,1
sad,1
mountain,1
every,1
house,1
valley,1
glass,1
young,1
winter,1
below,1
stone,1
berry,1
melon,1
young,1
about,1
chair,1
spoon,1
young,1
desert,1
great,1
sound,1
after,1
large,1
first,1
banana,1
valley,1
ocean,1
small,1
first,1
smart,1
right,1
grape,1
again,1
smart,1
summer,1
plant,1
about,1
never,1
orange,1
brave,1
paper,1
river,1
orange,1
mountain,1
grape,1
funny,1
winter,1
there,1
there,1
young,1
brave,1
cloud,1
right,1
study,1
brave,1
where,1
sad,1
cloud,1
brave,1
ocean,1
pen,1
could,1
quick,1
sound,1
light,1
great,1
place,1
could,1
study,1
write,1
think,1
stone,1
summer,1
paper,1
book,1
place,1
spoon,1
every,1
clean,1
plant,1
large,1
young,1
again,1
glass,1
where,1
light,1
berry,1
mouse,1
spring,1
winter,1
smart,1
smart,1
chair,1
their,1
world,1
every,1
pen,1
forest,1
again,1
point,1
forest,1
pen,1
desert,1
house,1
light,1
where,1
every,1
sad,1
first,1
stone,1
grape,1
sound,1
point,1
small,1
study,1
mountain,1
banana,1
right,1
river,1
phone,1
spring,1
study,1
berry,1
right,1
melon,1
large,1
cloud,1
thing,1
valley,1
where,1
apple,1
grape,1
again,1
below,1
orange,1
sad,1
melon,1
clean,1
there,1
light,1
about,1
every,1
great,1
point,1
sound,1
melon,1
point,1
quick,1
right,1
right,1
world,1
could,1
right,1
every,1
write,1
write,1
world,1
cloud,1
place,1
brave,1
young,1
below,1
orange,1
winter,1
quick,1
ocean,1
three,1
orange,1
there,1
thing,1
below,1
brave,1
funny,1
other,1
their,1
paper,1
quick,1
world,1
house,1
world,1
their,1
after,1
first,1
glass,1
write,1
small,1
smart,1
angry,1
every,1
house,1
large,1
smart,1
could,1
never,1
funny,1
below,1
clean,1
first,1
ocean,1
small,1
thing,1
which,1
young,1
quick,1
there,1
spring,1
pen,1
which,1
book,1
angry,1
phone,1
which,1
funny,1
plant,1
glass,1
thing,1
spring,1
summer,1
which,1
sad,1
think,1
table,1
spring,1
apple,1
light,1
these,1
other,1
spring,1
world,1
right,1
paper,1
grape,1
right,1
mouse,1
about,1
write,1
large,1
paper,1
melon,1
glass,1
after,1
brave,1
angry,1
stone,1
quick,1
plant,1
pen,1
three,1
banana,1
forest,1
young,1
angry,1
banana,1
which,1
which,1
every,1
ocean,1
point,1
learn,1
forest,1
table,1
forest,1
first,1
winter,1
every,1
forest,1
which,1
valley,1
where,1
tired,1
brave,1
small,1
think,1
again,1
valley,1
first,1
about,1
plant,1
light,1
study,1
happy,1
point,1
learn,1
glass,1
phone,1
funny,1
pen,1
grape,1
below,1
melon,1
mountain,1
place,1
apple,1
tired,1
pen,1
book,1
winter,1
great,1
phone,1
banana,1
spring,1
happy,1
great,1
spring,1
could,1
valley,1
first,1
berry,1
smart,1
below,1
ocean,1
there,1
large,1
desert,1
again,1
orange,1
could,1
think,1
these,1
which,1
small,1
place,1
tired,1
winter,1
happy,1
sad,1
spoon,1
there,1
cloud,1
spring,1
every,1
water,1
never,1
would,1
every,1
never,1
glass,1
happy,1
other,1
chair,1
river,1
place,1
after,1
could,1
melon,1
would,1
light,1
spoon,1
smart,1
valley,1
melon,1
winter,1
chair,1
after,1
about,1
spoon,1
world,1
their,1
stone,1
plant,1
angry,1
melon,1
these,1
study,1
cloud,1
never,1
river,1
write,1
house,1
summer,1
summer,1
smart,1
tired,1
mouse,1
glass,1
spring,1
book,1
sound,1
place,1
paper,1
young,1
great,1
desert,1
mouse,1
ocean,1
house,1
spoon,1
chair,1
study,1
glass,1
about,1
below,1
which,1
water,1
plant,1
valley,1
every,1
paper,1
phone,1
happy,1
other,1
chair,1
where,1
never,1
funny,1
below,1
cloud,1
where,1
brave,1
stone,1
about,1
brave,1
brave,1
there,1
table,1
brave,1
sad,1
where,1
quick,1
would,1
glass,1
light,1
which,1
apple,1
would,1
there,1
write,1
pen,1
forest,1
these,1
study,1
small,1
winter,1
great,1
grape,1
their,1
thing,1
three,1
where,1
angry,1
winter,1
learn,1
cloud,1
small,1
brave,1
berry,1
right,1
paper,1
phone,1
again,1
which,1
mountain,1
study,1
pen,1
three,1
think,1
smart,1
melon,1
about,1
happy,1
chair,1
phone,1
forest,1
where,1
which,1
banana,1
never,1
ocean,1
first,1
mouse,1
their,1
light,1
other,1
write,1
learn,1
clean,1
table,1
mouse,1
cloud,1
there,1
clean,1
three,1
summer,1
sad,1
clean,1
winter,1
could,1
place,1
world,1
apple,1
ocean,1
banana,1
thing,1
summer,1
first,1
berry,1
stone,1
book,1
sad,1
banana,1
clean,1
ocean,1
would,1
spring,1
these,1
small,1
valley,1
river,1
house,1
three,1
there,1
grape,1
apple,1
ocean,1
apple,1
again,1
mouse,1
clean,1
book,1
thing,1
there,1
point,1
smart,1
every,1
apple,1
banana,1
think,1
below,1
desert,1
first,1
world,1
ocean,1
three,1
ocean,1
three,1
angry,1
winter,1
summer,1
great,1
phone,1
could,1
summer,1
right,1
after,1
place,1
grape,1
again,1
banana,1
summer,1
mountain,1
grape,1
glass,1
sound,1
would,1
write,1
ocean,1
sound,1
after,1
summer,1
brave,1
pen,1
could,1
spoon,1
clean,1
desert,1
quick,1
water,1
place,1
large,1
point,1
again,1
great,1
below,1
plant,1
their,1
funny,1
learn,1
valley,1
about,1
smart,1
study,1
after,1
angry,1
orange,1
spoon,1
learn,1
mountain,1
house,1
about,1
their,1
ocean,1
point,1
about,1
learn,1
other,1
tired,1
about,1
spoon,1
would,1
grape,1
world,1
apple,1
light,1
tired,1
mouse,1
thing,1
table,1
mountain,1
tired,1
clean,1
orange,1
these,1
clean,1
book,1
glass,1
happy,1
summer,1
sad,1
forest,1
